Date,Venue,Opponent,Goals For,Goals Against,Expected Goals (xG),Expected Goals Against (xGA),Possession,Key Passes,Passes into Penalty Area,Crosses into Penalty Area,Interceptions,Clearances,Errors,Home Venue,Clean Sheets
2018-08-12,Home,West Ham,4,0,4.0,0.7,64,12,17,3,9,8,0,1,1
2018-08-20,Away,Crystal Palace,2,0,2.6,0.4,63,13,14,1,10,20,0,0,1
2018-08-25,Home,Brighton,1,0,1.6,0.6,69,18,16,3,9,10,0,1,1
2018-09-01,Away,Leicester City,2,1,1.0,1.0,49,8,4,0,10,26,1,0,0
2018-09-15,Away,Tottenham,2,1,2.6,1.0,40,11,5,0,6,22,0,0,0
2018-09-22,Home,Southampton,3,0,1.7,0.3,61,4,14,1,7,12,0,1,1
2018-09-29,Away,Chelsea,1,1,1.6,1.1,53,10,13,5,12,16,0,0,0
2018-10-07,Home,Manchester City,0,0,0.4,1.0,49,6,8,2,9,18,1,1,1
2018-10-20,Away,Huddersfield,1,0,0.6,0.7,52,9,12,1,9,35,1,0,1
2018-10-27,Home,Cardiff City,4,1,2.4,0.8,78,14,19,2,6,11,0,1,0
2018-11-03,Away,Arsenal,1,1,1.3,1.4,39,11,8,1,8,29,1,0,0
2018-11-11,Home,Fulham,2,0,1.8,0.5,71,15,16,3,8,15,0,1,1
2018-11-24,Away,Watford,3,0,1.2,0.4,63,6,9,2,13,23,0,0,1
2018-12-02,Home,Everton,1,0,2.9,1.1,58,11,12,2,7,19,0,1,1
2018-12-05,Away,Burnley,3,1,2.4,0.9,73,14,13,1,6,16,0,0,0
2018-12-08,Away,Bournemouth,4,0,1.6,0.3,59,6,11,1,7,21,0,0,1
2018-12-16,Home,Manchester Utd,3,1,2.5,0.7,64,21,10,0,4,8,1,1,0
2018-12-21,Away,Wolves,2,0,1.9,0.9,61,12,11,0,5,19,3,0,1
2018-12-26,Home,Newcastle Utd,4,0,2.9,0.5,74,11,22,1,9,14,1,1,1
2018-12-29,Home,Arsenal,5,1,3.8,1.0,48,8,14,1,8,15,2,1,0
2019-01-03,Away,Manchester City,1,2,1.5,1.1,51,4,10,3,10,21,1,0,0
2019-01-12,Away,Brighton,1,0,2.0,0.4,70,9,17,3,6,15,0,0,1
2019-01-19,Home,Crystal Palace,4,3,2.6,0.7,70,16,24,3,3,18,0,1,0
2019-01-30,Home,Leicester City,1,1,0.6,1.1,72,7,16,2,14,16,1,1,0
2019-02-04,Away,West Ham,1,1,1.1,0.8,73,9,6,0,3,21,0,0,0
2019-02-09,Home,Bournemouth,3,0,2.0,0.4,65,17,19,2,10,24,0,1,1
2019-02-24,Away,Manchester Utd,0,0,0.5,0.3,64,6,9,0,5,9,0,0,1
2019-02-27,Home,Watford,5,0,1.9,0.3,62,9,18,4,10,18,0,1,1
2019-03-03,Away,Everton,0,0,1.1,0.3,57,8,9,4,13,34,0,0,1
2019-03-10,Home,Burnley,4,2,4.0,0.4,67,18,15,2,7,13,0,1,0
2019-03-17,Away,Fulham,2,1,2.6,1.1,62,11,12,2,9,5,2,0,0
2019-03-31,Home,Tottenham,2,1,1.0,0.7,48,12,9,3,8,20,1,1,0
2019-04-05,Away,Southampton,3,1,1.9,0.9,67,12,17,5,9,18,0,0,0
2019-04-14,Home,Chelsea,2,0,1.2,0.7,62,14,18,3,13,13,0,1,1
2019-04-21,Away,Cardiff City,2,0,3.0,1.1,75,14,13,2,8,18,0,0,1
2019-04-26,Home,Huddersfield,5,0,3.1,0.2,69,18,13,2,11,12,0,1,1
2019-05-04,Away,Newcastle Utd,3,2,1.2,1.4,69,11,13,3,4,22,0,0,0
2019-05-12,Home,Wolves,2,0,1.6,1.3,59,7,9,2,9,16,0,1,1
