Date,Venue,Opponent,Goals For,Goals Against,Expected Goals (xG),Expected Goals Against (xGA),Possession,Key Passes,Passes into Penalty Area,Crosses into Penalty Area,Interceptions,Clearances,Errors,Home Venue,Clean Sheets
2020-09-12,Home,Leeds United,4,3,2.7,0.3,49,14,16,0,14,11,1,1,0
2020-09-20,Away,Chelsea,2,0,2.1,0.9,61,12,15,1,8,3,0,0,0
2020-09-28,Home,Arsenal,3,1,2.7,1.3,66,15,12,2,6,14,1,1,0
2020-10-04,Away,Aston Villa,2,7,1.8,2.7,69,11,12,2,12,14,1,0,0
2020-10-17,Away,Everton,2,2,2.6,1.2,58,14,14,2,3,13,0,0,0
2020-10-24,Home,Sheffield Utd,2,1,2.3,1.6,62,11,8,4,6,30,0,1,0
2020-10-31,Home,West Ham,2,1,1.7,0.3,72,6,13,2,4,14,0,1,0
2020-11-08,Away,Manchester City,1,1,1.2,1.4,46,6,7,1,4,8,2,0,0
2020-11-22,Home,Leicester City,3,0,3.1,1.6,56,18,11,2,10,15,0,1,0
2020-11-28,Away,Brighton,1,1,0.2,2.3,60,3,3,1,8,16,0,0,0
2020-12-06,Home,Wolves,4,0,1.2,0.4,60,9,10,1,5,22,1,1,0
2020-12-13,Away,Fulham,1,1,1.8,1.5,74,6,10,1,7,22,0,0,0
2020-12-16,Home,Tottenham,2,1,1.0,1.1,75,15,17,1,15,10,2,1,0
2020-12-19,Away,Crystal Palace,7,0,2.5,0.3,64,12,7,1,19,16,0,0,0
2020-12-27,Home,West Brom,1,1,1.5,0.6,77,13,25,6,4,14,0,1,0
2020-12-30,Away,Newcastle Utd,0,0,1.4,0.5,72,7,13,3,15,20,0,0,0
2021-01-04,Away,Southampton,0,1,1.5,0.4,66,12,25,7,11,3,1,0,0
2021-01-17,Home,Manchester Utd,0,0,1.2,1.1,65,13,21,2,12,12,0,1,0
2021-01-21,Home,Burnley,0,1,1.6,1.1,72,23,27,1,4,5,0,1,0
2021-01-28,Away,Tottenham,3,1,2.5,0.1,50,12,15,2,16,12,0,0,0
2021-01-31,Away,West Ham,3,1,2.0,0.8,67,11,17,1,4,16,0,0,0
2021-02-03,Home,Brighton,0,1,1.0,1.3,63,6,11,3,12,15,0,1,0
2021-02-07,Home,Manchester City,1,4,1.2,3.5,56,4,10,2,11,9,2,1,0
2021-02-13,Away,Leicester City,1,3,1.7,1.9,62,10,13,0,14,4,2,0,0
2021-02-20,Home,Everton,0,2,1.4,1.6,71,11,18,3,10,10,0,1,0
2021-02-28,Away,Sheffield Utd,2,0,2.7,0.7,60,14,10,3,5,14,0,0,0
2021-03-04,Home,Chelsea,0,1,0.3,1.0,54,6,12,1,12,15,0,1,0
2021-03-07,Home,Fulham,0,1,0.9,1.3,63,12,11,6,9,13,2,1,0
2021-03-15,Away,Wolves,1,0,0.9,1.1,47,12,8,1,14,26,0,0,0
2021-04-03,Away,Arsenal,3,0,2.4,0.1,64,10,14,3,6,11,0,0,0
2021-04-10,Home,Aston Villa,2,1,2.3,0.5,65,16,12,0,7,17,0,1,0
2021-04-19,Away,Leeds United,1,1,1.4,2.3,39,13,11,0,10,29,1,0,0
2021-04-24,Home,Newcastle Utd,1,1,2.4,1.0,68,16,16,5,8,15,0,1,0
2021-05-08,Home,Southampton,2,0,1.7,1.1,54,12,13,3,8,17,2,1,0
2021-05-13,Away,Manchester Utd,4,2,2.7,1.9,47,13,7,0,12,19,1,0,0
2021-05-16,Away,West Brom,2,1,1.9,1.0,76,24,22,3,6,17,0,0,0
2021-05-19,Away,Burnley,3,0,2.6,0.8,59,17,14,3,6,37,0,0,0
2021-05-23,Home,Crystal Palace,2,0,1.6,0.6,69,16,24,3,10,5,1,1,0
