Date,Venue,Opponent,Goals For,Goals Against,Expected Goals (xG),Expected Goals Against (xGA),Possession,Key Passes,Passes into Penalty Area,Crosses into Penalty Area,Interceptions,Clearances,Errors,Home Venue,Clean Sheets
2023-08-13,Away,Chelsea,1,1,1.3,1.4,35,10,8,2,10,39,0,0,0
2023-08-19,Home,Bournemouth,3,1,3.0,1.3,64,15,10,0,11,15,1,1,0
2023-08-27,Away,Newcastle Utd,2,1,0.9,2.0,41,7,6,0,8,19,1,0,0
2023-09-03,Home,Aston Villa,3,0,2.5,0.7,63,13,9,1,8,11,2,1,1
2023-09-16,Away,Wolves,3,1,2.5,0.6,65,13,13,4,9,20,0,0,0
2023-09-24,Home,West Ham,3,1,3.0,1.1,63,18,10,0,9,20,0,1,0
2023-09-30,Away,Tottenham,1,2,1.3,2.2,36,10,7,2,6,24,0,0,0
2023-10-08,Away,Brighton,2,2,2.3,2.3,54,11,15,2,11,19,1,0,0
2023-10-21,Home,Everton,2,0,2.2,0.1,77,19,14,1,7,14,0,1,1
2023-10-29,Home,Nott'ham Forest,3,0,3.2,0.4,72,13,11,2,4,11,0,1,1
2023-11-05,Away,Luton Town,1,1,2.6,0.8,73,20,20,5,7,15,0,0,0
2023-11-12,Home,Brentford,3,0,1.7,1.6,58,13,12,1,5,18,1,1,1
2023-11-25,Away,Manchester City,1,1,0.6,1.3,41,7,8,1,5,22,1,0,0
2023-12-03,Home,Fulham,4,3,2.1,1.2,61,17,15,0,13,13,1,1,0
2023-12-06,Away,Sheffield Utd,2,0,1.7,1.0,75,14,14,4,11,17,1,0,1
2023-12-09,Away,Crystal Palace,2,1,1.2,1.7,76,13,15,1,5,22,0,0,0
2023-12-17,Home,Manchester Utd,0,0,2.3,0.8,68,29,15,2,8,5,0,1,1
2023-12-23,Home,Arsenal,1,1,1.0,0.7,52,12,8,1,5,18,0,1,0
2023-12-26,Away,Burnley,2,0,1.8,0.8,68,15,18,2,6,10,1,0,1
2024-01-01,Home,Newcastle Utd,4,2,7.0,0.6,61,23,16,6,11,1,0,1,0
2024-01-21,Away,Bournemouth,4,0,1.5,1.4,60,12,11,2,8,27,0,0,1
2024-01-31,Home,Chelsea,4,1,2.9,0.6,50,18,10,2,6,8,0,1,0
2024-02-04,Away,Arsenal,1,3,0.4,3.5,57,8,5,1,8,17,2,0,0
2024-02-10,Home,Burnley,3,1,2.8,1.3,70,19,19,2,4,15,0,1,0
2024-02-17,Away,Brentford,4,1,2.8,1.6,62,12,9,2,8,18,0,0,0
2024-02-21,Home,Luton Town,4,1,3.3,0.9,60,24,12,1,6,19,0,1,0
2024-03-02,Away,Nott'ham Forest,1,0,2.0,1.0,69,18,12,1,7,12,0,0,1
2024-03-10,Home,Manchester City,1,1,2.7,1.6,53,10,12,3,12,14,0,1,0
2024-03-31,Home,Brighton,2,1,2.8,0.5,55,20,20,1,12,15,0,1,0
2024-04-04,Home,Sheffield Utd,3,1,1.8,0.6,82,21,21,4,7,5,0,1,0
2024-04-07,Away,Manchester Utd,2,2,3.6,0.7,62,20,17,1,3,13,1,0,0
2024-04-14,Home,Crystal Palace,0,1,2.7,2.0,69,18,17,6,5,11,0,1,0
2024-04-21,Away,Fulham,3,1,1.0,0.8,60,9,8,1,10,14,0,0,0
2024-04-24,Away,Everton,0,2,2.1,1.2,75,15,22,4,5,8,2,0,0
2024-04-27,Away,West Ham,2,2,1.7,0.7,71,24,21,5,6,19,1,0,0
2024-05-05,Home,Tottenham,4,2,3.3,1.2,44,17,20,3,11,12,0,1,0
2024-05-13,Away,Aston Villa,3,3,1.7,3.1,59,12,6,2,7,17,3,0,0
2024-05-19,Home,Wolves,2,0,4.5,0.5,67,29,20,2,8,6,0,1,1
