Date,Venue,Opponent,Goals For,Goals Against,Expected Goals (xG),Expected Goals Against (xGA),Possession,Key Passes,Passes into Penalty Area,Crosses into Penalty Area,Interceptions,Clearances,Errors,Home Venue,Clean Sheets,Goal Difference,Result,Result_Code,Opponent_Code,Goals For_Rolling_5,Goals Against_Rolling_5,Goal Difference_Rolling_5,Possession_Rolling_5,Expected Goals (xG)_Rolling_5,Expected Goals Against (xGA)_Rolling_5,Interceptions_Rolling_5,Clearances_Rolling_5,Errors_Rolling_5,Days Since Last Match
2018-08-12,Home,West Ham,4,0,4.0,0.7,64,12,17,3,9,8,0,1,1,4,Win,1,17,4.0,0.0,4.0,64.0,4.0,0.7,9.0,8.0,0.0,0.0
2018-08-20,Away,Crystal Palace,2,0,2.6,0.4,63,13,14,1,10,20,0,0,1,2,Win,1,6,3.0,0.0,3.0,63.5,3.3,0.55,9.5,14.0,0.0,8.0
2018-08-25,Home,Brighton,1,0,1.6,0.6,69,18,16,3,9,10,0,1,1,1,Win,1,2,2.3333333333333335,0.0,2.3333333333333335,65.33333333333333,2.733333333333333,0.5666666666666667,9.333333333333334,12.666666666666666,0.0,5.0
2018-09-01,Away,Leicester City,2,1,1.0,1.0,49,8,4,0,10,26,1,0,0,1,Win,1,10,2.25,0.25,2.0,61.25,2.3,0.675,9.5,16.0,0.25,7.0
2018-09-15,Away,Tottenham,2,1,2.6,1.0,40,11,5,0,6,22,0,0,0,1,Win,1,15,2.2,0.4,1.8,57.0,2.3600000000000003,0.74,8.8,17.2,0.2,14.0
2018-09-22,Home,Southampton,3,0,1.7,0.3,61,4,14,1,7,12,0,1,1,3,Win,1,14,2.0,0.4,1.6,56.4,1.9,0.6599999999999999,8.4,18.0,0.2,7.0
2018-09-29,Away,Chelsea,1,1,1.6,1.1,53,10,13,5,12,16,0,0,0,0,Draw,0,5,1.8,0.6,1.2,54.4,1.7,0.8,8.8,17.2,0.2,7.0
2018-10-07,Home,Manchester City,0,0,0.4,1.0,49,6,8,2,9,18,1,1,1,0,Draw,0,11,1.6,0.6,1.0,50.4,1.46,0.8800000000000001,8.8,18.8,0.4,8.0
2018-10-20,Away,Huddersfield,1,0,0.6,0.7,52,9,12,1,9,35,1,0,1,1,Win,1,9,1.4,0.4,1.0,51.0,1.3800000000000001,0.8200000000000001,8.6,20.6,0.4,13.0
2018-10-27,Home,Cardiff City,4,1,2.4,0.8,78,14,19,2,6,11,0,1,0,3,Win,1,4,1.8,0.4,1.4,58.6,1.34,0.78,8.6,18.4,0.4,7.0
2018-11-03,Away,Arsenal,1,1,1.3,1.4,39,11,8,1,8,29,1,0,0,0,Draw,0,0,1.4,0.6,0.8,54.2,1.26,1.0,8.8,21.8,0.6,7.0
2018-11-11,Home,Fulham,2,0,1.8,0.5,71,15,16,3,8,15,0,1,1,2,Win,1,8,1.6,0.4,1.2,57.8,1.3,0.8800000000000001,8.0,21.6,0.6,8.0
2018-11-24,Away,Watford,3,0,1.2,0.4,63,6,9,2,13,23,0,0,1,3,Win,1,16,2.2,0.4,1.8,60.6,1.46,0.76,8.8,22.6,0.4,13.0
2018-12-02,Home,Everton,1,0,2.9,1.1,58,11,12,2,7,19,0,1,1,1,Win,1,7,2.2,0.4,1.8,61.8,1.92,0.8399999999999999,8.4,19.4,0.2,8.0
2018-12-05,Away,Burnley,3,1,2.4,0.9,73,14,13,1,6,16,0,0,0,2,Win,1,3,2.0,0.4,1.6,60.8,1.92,0.86,8.4,20.4,0.2,3.0
