Date,Venue,Opponent,Goals For,Goals Against,Expected Goals (xG),Expected Goals Against (xGA),Possession,Key Passes,Passes into Penalty Area,Crosses into Penalty Area,Interceptions,Clearances,Errors,Home Venue,Clean Sheets,Goal Difference,Result,Result_Code,Opponent_Code,Goals For_Rolling_5,Goals Against_Rolling_5,Goal Difference_Rolling_5,Possession_Rolling_5,Expected Goals (xG)_Rolling_5,Expected Goals Against (xGA)_Rolling_5,Interceptions_Rolling_5,Clearances_Rolling_5,Errors_Rolling_5,Days Since Last Match
2020-09-12,Home,Leeds United,4,3,2.7,0.3,49,14,16,0,14,11,1,1,0,1,Win,1,8,4.0,3.0,1.0,49.0,2.7,0.3,14.0,11.0,1.0,0.0
2020-09-20,Away,Chelsea,2,0,2.1,0.9,61,12,15,1,8,3,0,0,0,2,Win,1,4,3.0,1.5,1.5,55.0,2.4000000000000004,0.6,11.0,7.0,0.5,8.0
2020-09-28,Home,Arsenal,3,1,2.7,1.3,66,15,12,2,6,14,1,1,0,2,Win,1,0,3.0,1.3333333333333333,1.6666666666666667,58.666666666666664,2.5,0.8333333333333334,9.333333333333334,9.333333333333334,0.6666666666666666,8.0
2020-10-04,Away,Aston Villa,2,7,1.8,2.7,69,11,12,2,12,14,1,0,0,-5,Loss,-1,1,2.75,2.75,0.0,61.25,2.325,1.3,10.0,10.5,0.75,6.0
2020-10-17,Away,Everton,2,2,2.6,1.2,58,14,14,2,3,13,0,0,0,0,Draw,0,6,2.6,2.6,0.0,60.6,2.38,1.28,8.6,11.0,0.6,13.0
2020-10-24,Home,Sheffield Utd,2,1,2.3,1.6,62,11,8,4,6,30,0,1,0,1,Win,1,13,2.2,2.2,0.0,63.2,2.3,1.54,7.0,14.8,0.4,7.0
2020-10-31,Home,West Ham,2,1,1.7,0.3,72,6,13,2,4,14,0,1,0,1,Win,1,17,2.2,2.4,-0.2,65.4,2.2199999999999998,1.42,6.2,17.0,0.4,7.0
2020-11-08,Away,Manchester City,1,1,1.2,1.4,46,6,7,1,4,8,2,0,0,0,Draw,0,10,1.8,2.4,-0.6,61.4,1.92,1.44,5.8,15.8,0.6,8.0
2020-11-22,Home,Leicester City,3,0,3.1,1.6,56,18,11,2,10,15,0,1,0,3,Win,1,9,2.0,1.0,1.0,58.8,2.1799999999999997,1.22,5.4,16.0,0.4,14.0
2020-11-28,Away,Brighton,1,1,0.2,2.3,60,3,3,1,8,16,0,0,0,0,Draw,0,2,1.8,0.8,1.0,59.2,1.7,1.44,6.4,16.6,0.4,6.0
2020-12-06,Home,Wolves,4,0,1.2,0.4,60,9,10,1,5,22,1,1,0,4,Win,1,18,2.2,0.6,1.6,58.8,1.48,1.2,6.2,15.0,0.6,8.0
2020-12-13,Away,Fulham,1,1,1.8,1.5,74,6,10,1,7,22,0,0,0,0,Draw,0,7,2.0,0.6,1.4,59.2,1.5,1.44,6.8,16.6,0.6,7.0
2020-12-16,Home,Tottenham,2,1,1.0,1.1,75,15,17,1,15,10,2,1,0,1,Win,1,15,2.2,0.6,1.6,65.0,1.4600000000000002,1.3800000000000001,9.0,17.0,0.6,3.0
2020-12-19,Away,Crystal Palace,7,0,2.5,0.3,64,12,7,1,19,16,0,0,0,7,Win,1,5,3.0,0.6,2.4,66.6,1.34,1.12,10.8,17.2,0.6,3.0
2020-12-27,Home,West Brom,1,1,1.5,0.6,77,13,25,6,4,14,0,1,0,0,Draw,0,16,3.0,0.6,2.4,70.0,1.6,0.78,10.0,16.8,0.6,8.0
2020-12-30,Away,Newcastle Utd,0,0,1.4,0.5,72,7,13,3,15,20,0,0,0,0,Draw,0,12,2.2,0.6,1.6,72.4,1.6400000000000001,0.8,12.0,16.4,0.4,3.0
2021-01-04,Away,Southampton,0,1,1.5,0.4,66,12,25,7,11,3,1,0,0,-1,Loss,-1,14,2.0,0.6,1.4,70.8,1.58,0.58,12.8,12.6,0.6,5.0
2021-01-17,Home,Manchester Utd,0,0,1.2,1.1,65,13,21,2,12,12,0,1,0,0,Draw,0,11,1.6,0.4,1.2,68.8,1.6199999999999999,0.58,12.2,13.0,0.2,13.0
2021-01-21,Home,Burnley,0,1,1.6,1.1,72,23,27,1,4,5,0,1,0,-1,Loss,-1,3,0.2,0.6,-0.4,70.4,1.44,0.74,9.2,10.8,0.2,4.0
2021-01-28,Away,Tottenham,3,1,2.5,0.1,50,12,15,2,16,12,0,0,0,2,Win,1,15,0.6,0.6,0.0,65.0,1.64,0.64,11.6,10.4,0.2,7.0
2021-01-31,Away,West Ham,3,1,2.0,0.8,67,11,17,1,4,16,0,0,0,2,Win,1,17,1.2,0.8,0.4,64.0,1.7600000000000002,0.7,9.4,9.6,0.2,3.0
2021-02-03,Home,Brighton,0,1,1.0,1.3,63,6,11,3,12,15,0,1,0,-1,Loss,-1,2,1.2,0.8,0.4,63.4,1.6600000000000001,0.8800000000000001,9.6,12.0,0.0,3.0
2021-02-07,Home,Manchester City,1,4,1.2,3.5,56,4,10,2,11,9,2,1,0,-3,Loss,-1,10,1.4,1.6,-0.2,61.6,1.6600000000000001,1.36,9.4,11.4,0.4,4.0
2021-02-13,Away,Leicester City,1,3,1.7,1.9,62,10,13,0,14,4,2,0,0,-2,Loss,-1,9,1.6,2.0,-0.4,59.6,1.6800000000000002,1.52,11.4,11.2,0.8,6.0
2021-02-20,Home,Everton,0,2,1.4,1.6,71,11,18,3,10,10,0,1,0,-2,Loss,-1,6,1.0,2.2,-1.2,63.8,1.46,1.8199999999999998,10.2,10.8,0.8,7.0
2021-02-28,Away,Sheffield Utd,2,0,2.7,0.7,60,14,10,3,5,14,0,0,0,2,Win,1,13,0.8,2.0,-1.2,62.4,1.6,1.8,10.4,10.4,0.8,8.0
2021-03-04,Home,Chelsea,0,1,0.3,1.0,54,6,12,1,12,15,0,1,0,-1,Loss,-1,4,0.8,2.0,-1.2,60.6,1.46,1.7400000000000002,10.4,10.4,0.8,4.0
2021-03-07,Home,Fulham,0,1,0.9,1.3,63,12,11,6,9,13,2,1,0,-1,Loss,-1,7,0.6,1.4,-0.8,62.0,1.4,1.3,10.0,11.2,0.8,3.0
2021-03-15,Away,Wolves,1,0,0.9,1.1,47,12,8,1,14,26,0,0,0,1,Win,1,18,0.6,0.8,-0.2,59.0,1.24,1.1400000000000001,10.0,15.6,0.4,8.0
2021-04-03,Away,Arsenal,3,0,2.4,0.1,64,10,14,3,6,11,0,0,0,3,Win,1,0,1.2,0.4,0.8,57.6,1.44,0.8399999999999999,9.2,15.8,0.4,19.0
2021-04-10,Home,Aston Villa,2,1,2.3,0.5,65,16,12,0,7,17,0,1,0,1,Win,1,1,1.2,0.6,0.6,58.6,1.3599999999999999,0.8,9.6,16.4,0.4,7.0
2021-04-19,Away,Leeds United,1,1,1.4,2.3,39,13,11,0,10,29,1,0,0,0,Draw,0,8,1.4,0.6,0.8,55.6,1.58,1.06,9.2,19.2,0.6,9.0
2021-04-24,Home,Newcastle Utd,1,1,2.4,1.0,68,16,16,5,8,15,0,1,0,0,Draw,0,12,1.6,0.6,1.0,56.6,1.8799999999999997,1.0,9.0,19.6,0.2,5.0
2021-05-08,Home,Southampton,2,0,1.7,1.1,54,12,13,3,8,17,2,1,0,2,Win,1,14,1.8,0.6,1.2,58.0,2.04,1.0,7.8,17.8,0.6,14.0
2021-05-13,Away,Manchester Utd,4,2,2.7,1.9,47,13,7,0,12,19,1,0,0,2,Win,1,11,2.0,1.0,1.0,54.6,2.1,1.36,9.0,19.4,0.8,5.0
2021-05-16,Away,West Brom,2,1,1.9,1.0,76,24,22,3,6,17,0,0,0,1,Win,1,16,2.0,1.0,1.0,56.8,2.02,1.4600000000000002,8.8,19.4,0.8,3.0
2021-05-19,Away,Burnley,3,0,2.6,0.8,59,17,14,3,6,37,0,0,0,3,Win,1,3,2.4,0.8,1.6,60.8,2.2600000000000002,1.16,8.0,21.0,0.6,3.0
2021-05-23,Home,Crystal Palace,2,0,1.6,0.6,69,16,24,3,10,5,1,1,0,2,Win,1,5,2.6,0.6,2.0,61.0,2.1,1.08,8.4,19.0,0.8,4.0
